"Link Immagine";"Opera";"Località";"Ubicazione";"Anno collocamento";
"130|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/130.pdf";"Cippo Avis";"CESENA";"Via Serraglio";2.004;
"131|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/131.pdf";"Lapide a Ernest Alvia Smith";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 7)";2.004;
"132|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/132.pdf";"Lapide a Marco Pantani";"CESENA";"Via Sorrivoli angolo via Celincordia";2.004;
"133|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/133.pdf";"Monumento a Don Dino";"PONTE ABBADESSE";"Via Sorrivoli (cv. 585)";2.004;
"134|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/134.pdf";"Scultura ai Piloti motociclisti cesenati scompars";"CESENA";"Via Serraglio";2.004;
"135|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/135.pdf";"Caveia";"GATTOLINO";"Rotonda Gattolino";2.005;
"136|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/136.pdf";"Monumento a ricordo dei  Minatori della Romagna";"BORELLO";"Via Fiera angolo via Noto - c/o area verde";2.005;
"137|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/137.pdf";"Scultura MadreTeresa di Calcutta";"CESENA";"Rotonda Madre Teresa di Calcutta";2.005;
"138|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/138.pdf";"Busto a Gaspare Finali";"CESENA";"Via Gaspari Finali";2.006;
"139|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/139.pdf";"Cippo a Sanzio Togni";"CASE FINALI";"Via Gadda angolo via Rodari - c/o area verde";2.006;
"13|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/13.pdf";"Lapide a Pietro Pasolini Casa";"CESENA";"Via Pasolini (cv. 19)";;
"140|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/140.pdf";"Lapide a Don Carlo Baronio";"CESENA";"Via Don Carlo Baronio";2.006;
"141|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/141.pdf";"Monumento a Michele Alboreto";"S. CARLO";"Piazza del Libro";2.006;
"142|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/142.pdf";"Scultura Due grandi steli di Sassi";"CESENA";"Rotonda dell'Ippodromo";2.006;
"143|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/143.pdf";"Scultura Gli equilibristi";"CESENA";"Vicolo Cesuola";2.006;
"144|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/144.pdf";"Lapide alla Donna di Cesena";"CESENA";"Via Frà Michelino angolo vicolo Stalle";2.007;
"145|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/145.pdf";"Scultura Ruota umana n.2 di Masacci";"CESENA";"Piazza Trieste";2.007;
"146|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/146.pdf";"Busto a Nullo Scarpellini";"CAPANNAGUZZO";"Via Maccanino angolo V. Capannaguzzo c/o area verd";2.010;
"147|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/147.pdf";"Scultura \" Madonna col bambino\"";"CESENA";"P.le Santa Croce c/o facciata cimitero urbano";2.012;
"148|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/148.pdf";"Scultura \"Cristo risorto - Noli me tangere\"";"CESENA";"P.le Santa Croce c/o facciata cimitero urbano";2.012;
"149|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/149.pdf";"Lapide \" Walter Galli\"";"CESENA";"Via Albertini";2.013;
"14|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/14.pdf";"Lapide a Pietro Roverella";"CESENA";"Via Strinati (cv. 59)";;
"150|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/150.pdf";"Monumento \" Cavalluccio\"";"CESENA";"R.da dello Stadio";2.013;
